City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,constantia,44.1833,28.65,23.68,79,40,7.9,RO,1706662158
250,gevrai,19.2667,75.75,67.64,40,57,4.29,IN,1706662158
251,andergrove,-21.0833,149.1833,92.64,70,76,2.08,AU,1706662158
252,newman,37.3138,-121.0208,71.83,75,74,1.99,US,1706662158
253,northam,51.0333,-4.2167,35.38,90,80,6.69,GB,1706662158
254,massawa,15.6097,39.45,75.72,71,100,8.75,ER,1706662159
255,meadow lake,34.8014,-106.5436,56.68,34,87,2.82,US,1706662159
256,peniche,39.3558,-9.3811,59.94,85,100,9.04,PT,1706662159
257,trashi yangtse,27.6116,91.498,37.42,89,96,3.44,BT,1706662159
258,kingston,17.997,-76.7936,81.55,79,75,4.61,JM,1706662159
259,kavaratti,10.5669,72.642,81.57,68,33,8.34,IN,1706662160
260,alto barinas,8.5931,-70.2261,85.6,37,62,0.36,VE,1706662160
261,lerwick,60.1545,-1.1494,46.4,81,100,34.02,GB,1706662160
262,camapua,-19.5314,-54.0439,74.7,71,13,2.48,BR,1706662160
263,diebougou,10.9667,-3.25,76.37,18,100,4.36,BF,1706662160
264,idfu,24.9803,32.8747,48.99,42,0,7.18,EG,1706662160
265,taoudenni,22.6783,-3.9836,65.57,24,0,14.41,ML,1706662161
266,yoichi,43.2039,140.7703,32.5,67,100,5.55,JP,1706662161
267,west bay,19.3667,-81.4167,73.47,56,75,6.91,KY,1706662161
268,enewetak,11.3474,162.3373,79.79,71,100,20.07,MH,1706662161
269,farafangana,-22.8167,47.8333,73.71,85,100,7.76,MG,1706662161
270,estes park,40.3772,-105.5217,46.26,57,9,7.16,US,1706662162
271,mount gambier,-37.8333,140.7667,70.3,48,0,9.04,AU,1706661966
272,al qusiyah,27.4402,30.8184,44.87,49,0,6.35,EG,1706662162
273,ekibastuz,51.6667,75.3667,11.91,88,100,7.76,KZ,1706662162
274,magadan,59.5667,150.8,-12.48,79,5,5.57,RU,1706662162
275,franklin,39.9667,-83.0166,36.43,97,100,4.61,US,1706662162
276,butzbach,50.4339,8.6712,45.34,92,55,4.43,DE,1706662163
277,hailar,49.2,119.7,-32.01,100,91,4.56,CN,1706662163
278,banyo,6.75,11.8167,67.73,31,90,2.95,CM,1706662163
279,roanoke,37.271,-79.9414,43.61,72,100,6.91,US,1706662163
280,si satchanalai,17.5169,99.7598,67.78,88,23,2.75,TH,1706662163
281,sao luis,-2.5297,-44.3028,82.6,89,0,10.36,BR,1706662164
282,kourou,5.1552,-52.6478,80.65,89,4,7.38,GF,1706662164
283,lazaro cardenas,17.9583,-102.2,78.03,73,100,2.68,MX,1706662164
284,susuman,62.7833,148.1667,-33.02,100,100,1.01,RU,1706662164
285,mirnyy,62.5353,113.9611,-17.77,75,91,3.38,RU,1706662164
286,talas,38.6908,35.5538,27.27,64,0,9.22,TR,1706662164
287,inhambane,-23.865,35.3833,74.19,87,0,9.48,MZ,1706662165
288,duba-yurt,43.0372,45.7319,7.77,57,21,3.13,RU,1706662165
289,macau,22.2006,113.5461,66.7,94,40,6.91,MO,1706662165
290,arys,42.4252,68.795,28.22,94,100,13.44,KZ,1706662165
291,mahajanga,-15.7167,46.3167,80.62,83,20,4.61,MG,1706662165
292,taksimo,56.3444,114.8794,-25.47,91,30,1.63,RU,1706662166
293,kismayo,-0.3582,42.5454,79.5,84,100,15.32,SO,1706662166
294,scottburgh,-30.2867,30.7532,72.3,90,66,7.87,ZA,1706662166
295,goz beida,13.95,20.55,65.95,22,0,8.34,TD,1706662166
296,bochum,51.4833,7.2167,45.5,83,100,3.0,DE,1706662166
